dataset,method,test_f1,test_acc,test_auc,val_auc,layer,num_train
100_news_fake,logreg,0.998568017135493,0.9985680190930788,1.0,1.0,20,1024
105_click_bait,logreg,0.997407640907015,0.9974076474400518,0.9996320638696801,0.9991732120711038,20,1024
106_hate_hate,logreg,0.6607768084578797,0.6608805031446541,0.7215826412931541,0.6838735494197679,20,1024
107_hate_offensive,logreg,0.8162075936145099,0.8163522012578617,0.8958679100268445,0.9091636654661864,20,1024
110_aimade_humangpt3,logreg,0.9106915073753019,0.9106918238993711,0.9745511316515095,0.9967987194877952,20,1024
113_movie_sent,logreg,0.91999878484089,0.92,0.965360355388496,0.9811924769907964,20,1024
114_nyc_borough_Manhattan,logreg,0.7110197386880314,0.7117948717948718,0.7795511158986097,0.7682578539371685,20,1024
115_nyc_borough_Brooklyn,logreg,0.6119762420475846,0.6123076923076923,0.6545258693237285,0.7343941248470012,20,1024
116_nyc_borough_Bronx,logreg,0.679763510952778,0.68,0.7411447638603696,0.7588739290085679,20,1024
117_us_state_FL,logreg,0.9090723505340225,0.9090909090909091,0.9612244897959183,0.9807692307692308,20,900
118_us_state_CA,logreg,0.9090352334202494,0.9090909090909091,0.9816326530612245,0.9975961538461539,20,900
119_us_state_TX,logreg,0.9595132999388319,0.9595959595959596,0.9971428571428571,0.985176282051282,20,900
120_us_timezone_Chicago,logreg,0.8703821286129576,0.870394451668834,0.9443295389467007,0.962,20,1024
121_us_timezone_New_York,logreg,0.8820867523557905,0.88209796272215,0.9521194803398865,0.968,20,1024
122_us_timezone_Los_Angeles,logreg,0.8942199116687156,0.894234937147811,0.9561820493896566,0.9596,20,1024
123_world_country_United_Kingdom,logreg,0.9897435250082376,0.9897435897435898,0.9995076917898138,0.9991840065279478,20,1024
124_world_country_United_States,logreg,0.9907689394518717,0.9907692307692307,0.998758710068334,1.0,20,1024
125_world_country_Italy,logreg,0.9897435250082376,0.9897435897435898,0.9976562762985155,1.0,20,1024
126_art_type_book,logreg,0.824007852602802,0.824013870827915,0.9091372668090626,0.9384,20,1024
127_art_type_song,logreg,0.8192457737321196,0.8192457737321196,0.9131216733981581,0.9332,20,1024
128_art_type_movie,logreg,0.7724270260598294,0.7724317295188556,0.8613709845914734,0.8715999999999999,20,1024
129_arith_mc_A,logreg,0.9360341151385928,0.9360341151385928,0.9789052555010003,0.9884,20,1024
130_temp_cat_Frequency,logreg,1.0,1.0,1.0,1.0,20,962
131_temp_cat_Typical Time,logreg,1.0,1.0,1.0,1.0,20,962
132_temp_cat_Event Ordering,logreg,1.0,1.0,1.0,1.0,20,962
133_context_type_Causality,logreg,0.9688704395553711,0.9688888888888889,0.9839601769911505,0.9833603896103896,20,1024
134_context_type_Belief_states,logreg,0.9555186474041267,0.9555555555555556,0.9845132743362832,0.9667207792207793,20,1024
135_context_type_Event_duration,logreg,0.9955553799586908,0.9955555555555555,1.0,1.0,20,1024
136_glue_mnli_entailment,logreg,0.8287815818796599,0.8287819679237104,0.9122859363186384,0.98,20,1024
137_glue_mnli_neutral,logreg,0.7767535277564906,0.7767663632423061,0.8562998191741534,0.8736,20,1024
138_glue_mnli_contradiction,logreg,0.8590072613741313,0.859124403987863,0.9349868702097308,0.9356,20,1024
139_news_class_Politics,logreg,0.9267772377773332,0.9267796610169492,0.9779594268127214,0.9818840579710146,20,1024
140_news_class_Technology,logreg,0.8955931243602849,0.895593220338983,0.9625063889716239,0.9255233494363929,20,1024
141_news_class_Entertainment,logreg,0.8867484285236171,0.8867796610169492,0.9512599603607975,0.9657809983896941,20,1024
142_cancer_cat_Thyroid_Cancer,logreg,0.9825072886297376,0.9825072886297376,0.9993880048959608,1.0,20,1024
143_cancer_cat_Lung_Cancer,logreg,0.9941690962099126,0.9941690962099126,0.9999320005439957,1.0,20,1024
144_cancer_cat_Colon_Cancer,logreg,0.9941687988159756,0.9941690962099126,1.0,0.9987995198079231,20,1024
145_disease_class_digestive system diseases,logreg,0.5651239012506258,0.5656565656565656,0.6134693877551021,0.6444444444444444,20,952
146_disease_class_cardiovascular diseases,logreg,0.8080808080808081,0.8080808080808081,0.8828571428571429,0.8024242424242424,20,952
147_disease_class_nervous system diseases,logreg,0.8080416289051587,0.8080808080808081,0.8310204081632653,0.8101010101010101,20,952
148_twt_emotion_worry,logreg,0.6100619544974833,0.6101694915254238,0.6341849510761051,0.6582125603864735,20,1024
149_twt_emotion_happiness,logreg,0.7205736755185724,0.7206779661016949,0.7870845329891564,0.8590982286634461,20,1024
150_twt_emotion_sadness,logreg,0.6541339567504383,0.6542372881355932,0.7094645030575137,0.7725442834138486,20,1024
151_it_tick_HR Support,logreg,0.7061101227516664,0.707196029776675,0.7593098862125018,0.8103241296518607,20,1024
152_it_tick_Hardware,logreg,0.6873218105587405,0.6873449131513648,0.7609723658933059,0.8167266906762706,20,1024
153_it_tick_Administrative rights,logreg,0.8535980148883374,0.8535980148883374,0.9255455396285898,0.8395358143257303,20,1024
154_athlete_sport_football,logreg,0.9329680475147967,0.9330655957161981,0.9835772963828476,0.9963636363636363,20,1024
155_athlete_sport_basketball,logreg,0.9692098429590201,0.9692101740294511,0.9952330432538602,0.9931313131313131,20,1024
156_athlete_sport_baseball,logreg,0.9611613405060516,0.9611780455153949,0.9930538630270535,1.0,20,1024
157_amazon_5star,logreg,0.896350068421572,0.8964102564102564,0.9629758979365133,0.9428804569563443,20,1024
158_code_C,logreg,0.9973109237620901,0.9973109243697479,0.9998436268448417,1.0,20,1024
159_code_Python,logreg,0.9858806683064913,0.9858823529411764,0.9993315725535284,1.0,20,1024
160_code_HTML,logreg,0.9868904008124293,0.986890756302521,0.9989180423888756,0.9995985547972701,20,1024
161_agnews_0,logreg,1.0,1.0,1.0,1.0,20,1024
162_agnews_1,logreg,1.0,1.0,1.0,1.0,20,1024
163_agnews_2,logreg,1.0,1.0,1.0,1.0,20,1024
21_headline_istrump,logreg,0.9544462595932746,0.9544654088050315,0.9869508951038897,0.98359343737495,20,1024
22_headline_isobama,logreg,0.9540134839741372,0.9540412044374009,0.9876532047418123,0.9827931172468987,20,1024
23_headline_ischina,logreg,0.9651859740848284,0.9651860744297719,0.9923330566316177,1.0,20,1024
24_headline_isiran,logreg,0.9448985633784441,0.9449035812672176,0.9905591645923137,0.9907963185274109,20,1024
